id,concept,text,correct_answer,incorrect_answer,feedback_hint
Q0001,F1,What does the fraction 3/8 mean?,three out of eight equal parts,eight out of three parts,Ask which number gives all equal parts and which gives the selected parts.
Q0002,F1,A bar has 6 equal parts and 2 are shaded. What fraction is shaded?,2/6,6/2,Ask which number counts all parts and which counts the shaded parts.
Q0003,F1,"In 4/7, what does the denominator tell us?",seven equal parts altogether,seven selected pieces,Ask whether the denominator counts selected pieces or all equal pieces.
Q0004,F2,Give a fraction equivalent to 1/2.,2/4,2/2,Ask what must happen to both numerator and denominator.
Q0005,F2,Are 2/3 and 4/6 equivalent?,yes,no,Ask whether both parts of 2/3 can be multiplied by the same number.
Q0006,F2,Complete: 3/5 = ?/10.,6,8,Ask how 5 changed to 10 and apply the same change to 3.
Q0007,F3,"Which is larger, 3/8 or 5/8?",5/8,3/8,Point out that the denominators match and ask which numerator is larger.
Q0008,F3,"Put 1/7, 4/7, and 6/7 in ascending order.","1/7, 4/7, 6/7","6/7, 4/7, 1/7",Ask the student to compare the numerators because the denominators match.
Q0009,F3,"Compare 2/9 and 7/9 using <, >, or =.",2/9 < 7/9,2/9 > 7/9,Ask which numerator is smaller when the denominators match.
Q0010,F4,"Which is larger, 2/3 or 3/5?",2/3,3/5,Ask the student to rewrite both fractions with denominator 15.
Q0011,F4,Compare 3/4 and 5/8.,3/4,5/8,Ask the student to rewrite 3/4 in eighths.
Q0012,F4,Put 1/2 and 4/7 in ascending order.,"1/2, 4/7","4/7, 1/2",Ask the student to express both fractions in fourteenths.
Q0013,F5,Find a common denominator for 1/3 and 1/4.,12,7,Ask for a number that both 3 and 4 divide into.
Q0014,F5,Rewrite 2/5 and 1/2 using a common denominator.,4/10 and 5/10,2/7 and 1/7,Ask what common multiple 2 and 5 share.
Q0015,F5,Give a common denominator for 3/4 and 1/6.,12,10,Ask the student to list multiples of 4 and 6.
Q0016,F6,Calculate 2/7 + 3/7.,5/7,5/14,Ask whether the denominator changes when it already matches.
Q0017,F6,Calculate 1/9 + 5/9.,6/9,6/18,Point out that the pieces already have the same size.
Q0018,F6,What is 3/10 + 4/10?,7/10,7/20,Ask whether tenths become twentieths when they are combined.
Q0019,F7,Calculate 1/2 + 1/3.,5/6,2/5,Ask for a common denominator for 2 and 3.
Q0020,F7,Calculate 2/5 + 1/4.,13/20,3/9,Ask for a common denominator for 5 and 4.
Q0021,F7,What is 3/4 + 1/6?,11/12,4/10,Ask for a common multiple of 4 and 6.
Q0022,F8,Simplify 4/8.,1/2,1/8,Ask for a common factor that divides both 4 and 8.
Q0023,F8,Write 6/9 in simplest form.,2/3,2/9,Ask which factor divides both 6 and 9.
Q0024,F8,Simplify 10/15.,2/3,2/15,Ask for a common factor of 10 and 15.
